lex	word	POS	род	падеж	число	вид	переходность	время	наклонение	лицо	форма прилагательных	залог	степень сравнения
сиятельство	сиятельство	S	сред	вин	ед								
не	не	PART											
должно	должно	ADV											
пренебрегать	пренебрегать	V				несов	нп		инф				
этот	этим	APRO	муж	дат	мн								
упражнение	упражнением	S	сред	твор	ед								
не	не	PART											
то	то	PART											
отвыкать	отвыкнешь	V			ед	сов	нп	непрош	изъяв	2-л			
как	как	CONJ											
раз	раз	S	муж	вин	ед								
хороший	лучший	A	муж	вин	ед						полн		прев
стрелок	стрелок	S	муж	им	ед								
который	которого	APRO	муж	вин	ед								
удаваться	удалось	V	сред		ед	сов	нп	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
встречать	встречать	V				несов	пе		инф				
стрелять	стрелял	V	муж		ед	несов	пе	прош	изъяв				
каждый	каждый	APRO	муж	вин	ед								
день	день	S	муж	вин	ед								
по	по	PR											
крайний	крайней	A	жен	пр	ед						полн		
мера	мере	S	жен	пр	ед								
три	три	NUM		им									
раз	раза	S	муж	род	ед								
перед	перед	PR											
обед	обедом	S	муж	твор	ед								
это	это	SPRO	сред	вин	ед								
у	у	PR											
он	него	SPRO	муж	вин	ед					3-л			
быть	было	V	сред		ед	несов	нп	прош	изъяв				
заводить	заведено	V	сред		ед	сов		прош	прич		кр	страд	
как	как	CONJ											
рюмка	рюмка	S	жен	им	ед								
водка	водки	S	жен	вин	мн								
граф	граф	S	муж	им	ед								
и	и	CONJ											
графиня	графиня	S	жен	им	ед								
рад	рады	A			мн						кр		
быть	были	V			мн	несов	нп	прош	изъяв				
что	что	CONJ											
я	я	SPRO		им	ед					1-л			
разговориться	разговорился	V	муж		ед	сов	нп	прош	изъяв				
а	а	CONJ											
каково	каково	ADV											
стрелять	стрелял	V	муж		ед	несов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
спрашивать	спросил	V	муж		ед	сов		прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
граф	граф	S	муж	им	ед								
да	да	CONJ											
вот	вот	PART											
как	как	ADVPRO											
ваш	ваше	APRO	сред	вин	ед								
сиятельство	сиятельство	S	сред	вин	ед								
бывало	бывало	ADV											
увидеть	увидит	V			ед	сов	пе	непрош	изъяв	3-л			
он	он	SPRO	муж	им	ед					3-л			
садиться	села	V	жен		ед	сов	нп	прош	изъяв				
на	на	PR											
стена	стену	S	жен	вин	ед								
муха	муха	S	жен	им	ед								
вы	вы	SPRO		им	мн					2-л			
смеяться	смеетесь	V			мн	несов	нп	непрош	изъяв	2-л			
графиня	графиня	S	жен	им	ед								
ей-богу	ей-богу	INTJ											
правда	правда	S	жен	им	ед								
бывало	бывало	ADV											
увидеть	увидит	V			ед	сов	пе	непрош	изъяв	3-л			
муха	муху	S	жен	вин	ед								
и	и	CONJ											
кричать	кричит	V			ед	несов	нп	непрош	изъяв	3-л			
кузька	кузька	S	муж	им	ед								
пистолет	пистолет	S	муж	вин	ед								
кузька	кузька	S	муж	им	ед								
и	и	CONJ											
нести	несет	V			ед	несов	пе	непрош	изъяв	3-л			
он	ему	SPRO	муж	дат	ед					3-л			
заряжать	заряженный	V	муж	вин	ед	сов	пе	прош	прич		полн	страд	
пистолет	пистолет	S	муж	вин	ед								
он	он	SPRO	муж	им	ед					3-л			
хлоп	хлоп	INTJ											
и	и	CONJ											
вдавливать	вдавит	V			ед	сов	пе	непрош	изъяв	3-л			
муха	муху	S	жен	вин	ед								
в	в	PR											
стена	стену	S	жен	вин	ед								
это	это	SPRO	сред	вин	ед								
удивительно	удивительно	ADV											
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
граф	граф	S	муж	им	ед								
а	а	CONJ											
как	как	ADVPRO											
он	его	SPRO	муж	вин	ед					3-л			
звать	звали	V			мн	несов	пе	прош	изъяв				
сильвио	сильвио	S	муж	пр	мн								
ваш	ваше	APRO	сред	вин	ед								
сиятельство	сиятельство	S	сред	вин	ед								
сильвио	сильвио	S	муж	пр	мн								
вскричать	вскричал	V	муж		ед	сов	нп	прош	изъяв				
граф	граф	S	муж	им	ед								
вскакивать	вскочив	V				сов	нп	прош	деепр				
со	со	PR											
свой	своего	APRO	муж	вин	ед								
место	места	S	сред	вин	мн								
вы	вы	SPRO		им	мн					2-л			
знать	знали	V			мн	несов	пе	прош	изъяв				
сильвио	сильвио	S	муж	пр	мн								
как	как	ADVPRO											
не	не	PART											
знать	знать	V				несов	пе		инф				
ваш	ваше	APRO	сред	вин	ед								
сиятельство	сиятельство	S	сред	вин	ед								
мы	мы	SPRO		им	мн					1-л			
быть	были	V			мн	несов	нп	прош	изъяв				
с	с	PR											
он	ним	SPRO	муж	твор	ед					3-л			
приятель	приятели	S	муж	им	мн								
он	он	SPRO	муж	им	ед					3-л			
в	в	PR											
наш	нашем	APRO	муж	пр	ед								
полк	полку	S	муж	дат	ед								
принимать	принят	V	муж		ед	сов		прош	прич		кр	страд	
быть	был	V	муж		ед	несов	нп	прош	изъяв				
как	как	CONJ											
свой	свой	APRO	муж	вин	ед								
брат	брат	S	муж	им	ед								
товарищ	товарищ	S	муж	им	ед								
да	да	CONJ											
вот	вот	PART											
уж	уж	PART											
год	лет	S	муж	род	мн								
пять	пять	NUM		вин									
как	как	CONJ											
об	об	PR											
он	нем	SPRO	муж	пр	ед					3-л			
не	не	PART											
иметь	имею	V			ед	несов	пе	непрош	изъяв	1-л			
никакой	никакого	APRO	муж	вин	ед								
известие	известия	S	сред	вин	мн								
так	так	ADVPRO											
и	и	CONJ											
ваш	ваше	APRO	сред	вин	ед								
сиятельство	сиятельство	S	сред	вин	ед								
становиться	стало	V	сред		ед	сов	нп	прош	изъяв				
быть	быть	V				несов	нп		инф				
знать	знали	V			мн	несов	пе	прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
знать	знал	V	муж		ед	несов	пе	прош	изъяв				
очень	очень	ADV											
знать	знал	V	муж		ед	несов	пе	прош	изъяв				
не	не	PART											
рассказывать	рассказывал	V	муж		ед	несов	пе	прош	изъяв				
ли	ли	PART											
он	он	SPRO	муж	им	ед					3-л			
вы	вам	SPRO		дат	мн					2-л			
но	но	CONJ											
нет	нет	PART											
не	не	PART											
думать	думаю	V			ед	несов	нп	непрош	изъяв	1-л			
не	не	PART											
рассказывать	рассказывал	V	муж		ед	несов	пе	прош	изъяв				
ли	ли	PART											
он	он	SPRO	муж	им	ед					3-л			
вы	вам	SPRO		дат	мн					2-л			
один	одного	APRO	муж	вин	ед								
очень	очень	ADV											
странный	странного	A	муж	вин	ед						полн		
происшествие	происшествия	S	сред	вин	мн								
не	не	PART											
пощечина	пощечина	S	жен	им	ед								
ли	ли	PART											
ваш	ваше	APRO	сред	вин	ед								
сиятельство	сиятельство	S	сред	вин	ед								
получать	полученная	V	жен	им	ед	сов	пе	прош	прич		полн	страд	
он	им	SPRO	муж	твор	ед					3-л			
на	на	PR											
бал	бале	S	муж	пр	ед								
от	от	PR											
какой-то	какого-то	APRO	муж	вин	ед								
повеса	повесы	S	муж	род	ед								
а	а	CONJ											
сказывать	сказывал	V	муж		ед	несов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
вы	вам	SPRO		дат	мн					2-л			
имя	имя	S	сред	вин	ед								
этот	этого	APRO	муж	вин	ед								
повеса	повесы	S	муж	род	ед								
нет	нет	PART											
ваш	ваше	APRO	сред	вин	ед								
сиятельство	сиятельство	S	сред	вин	ед								
не	не	PART											
сказывать	сказывал	V	муж		ед	несов	пе	прош	изъяв				
ах	ах	INTJ											
ваш	ваше	APRO	сред	вин	ед								
сиятельство	сиятельство	S	сред	вин	ед								
продолжать	продолжал	V	муж		ед	несов	пе	прош	изъяв				
я	я	SPRO		им	ед					1-л			
догадываться	догадываясь	V				несов	нп	непрош	деепр				
об	об	PR											
истина	истине	S	жен	пр	ед								
извинять	извините	V			мн	сов	пе	непрош	изъяв	2-л			
я	я	SPRO		им	ед					1-л			
не	не	PART											
знать	знал	V	муж		ед	несов	пе	прош	изъяв				
уж	уж	PART											
не	не	PART											
вы	вы	SPRO		им	мн					2-л			
ли	ли	PART											
я	я	SPRO		им	ед					1-л			
сам	сам	APRO	муж	вин	ед								
отвечать	отвечал	V	муж		ед	несов	нп	прош	изъяв				
граф	граф	S	муж	им	ед								
с	с	PR											
вид	видом	S	муж	твор	ед								
чрезвычайно	чрезвычайно	ADV											
расстраивать	расстроенным	V	муж	дат	мн	сов	пе	прош	прич		полн	страд	
а	а	CONJ											
прострелить	простреленная	V	жен	им	ед	сов	пе	прош	прич		полн	страд	
картина	картина	S	жен	им	ед								
быть	есть	V			ед	несов	нп	непрош	изъяв	3-л			
памятник	памятник	S	муж	вин	ед								
последний	последней	A	жен	пр	ед						полн		
наш	нашей	APRO	жен	пр	ед								
встреча	встречи	S	жен	вин	мн								
ах	ах	INTJ											
милый	милый	A	муж	вин	ед						полн		
мой	мой	APRO	муж	вин	ед								
сказать	сказала	V	жен		ед	сов	пе	прош	изъяв				
графиня	графиня	S	жен	им	ед								
ради	ради	PR											
бог	бога	S	муж	вин	ед								
не	не	PART											
рассказывать	рассказывай	V			ед	несов	пе		пов	2-л			
я	мне	SPRO		пр	ед					1-л			
страшно	страшно	ADV											
быть	будет	V			ед		нп	непрош	изъяв	3-л			
слушать	слушать	V				несов	пе		инф				
нет	нет	PART											
возражать	возразил	V	муж		ед	сов	нп	прош	изъяв				
граф	граф	S	муж	им	ед								
я	я	SPRO		им	ед					1-л			
все	все	SPRO		вин	мн								
рассказывать	расскажу	V			ед	сов		непрош	изъяв	1-л			
он	он	SPRO	муж	им	ед					3-л			
знать	знает	V			ед	несов	пе	непрош	изъяв	3-л			
как	как	CONJ											
я	я	SPRO		им	ед					1-л			
обижать	обидел	V	муж		ед	сов		прош	изъяв				
его	его	APRO	жен	пр	мн								
друг	друга	S	муж	вин	ед								
пусть	пусть	PART											
же	же	PART											
узнавать	узнает	V			ед	несов	пе	непрош	изъяв	3-л			
как	как	ADVPRO											
сильвио	сильвио	S	муж	пр	мн								
я	мне	SPRO		пр	ед					1-л			
отомщать	отомстил	V	муж		ед	сов	нп	прош	изъяв				
граф	граф	S	муж	им	ед								
подвигать	подвинул	V	муж		ед	сов	пе	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
кресло	кресла	S	сред	вин	мн								
и	и	CONJ											
я	я	SPRO		им	ед					1-л			
с	с	PR											
живой	живейшим	A	муж	дат	мн						полн		прев
любопытство	любопытством	S	сред	твор	ед								
услышать	услышал	V	муж		ед	сов	пе	прош	изъяв				
следующий	следующий	A	муж	вин	ед						полн		
рассказ	рассказ	S	муж	вин	ед								
пять	пять	NUM		вин									
год	лет	S	муж	род	мн								
то	тому	SPRO	сред	дат	ед								
назад	назад	ADV											
я	я	SPRO		им	ед					1-л			
жениться	женился	V	муж		ед	несов	нп	прош	изъяв				
первый	первый	ANUM	муж	вин	ед								
месяц	месяц	S	муж	вин	ед								
медовый	медовый	A	муж	вин	ед						полн		
месяц	месяц	S	муж	вин	ед								
англ	англ	S	муж	им	ед								
проводить	провел	V	муж		ед	сов		прош	изъяв				
я	я	SPRO		им	ед					1-л			
здесь	здесь	ADVPRO											
в	в	PR											
этот	этой	APRO	жен	пр	ед								
деревня	деревне	S	жен	пр	ед								
этот	этому	APRO	муж	дат	ед								
дом	дому	S	муж	дат	ед								
обязанный	обязан	A	муж		ед						кр		
я	я	SPRO		им	ед					1-л			
хороший	лучшими	A		твор	мн						полн		прев
минута	минутами	S	жен	твор	мн								
жизнь	жизни	S	жен	пр	ед								
и	и	CONJ											
один	одним	APRO	муж	дат	мн								
из	из	PR											
самый	самых	APRO		пр	мн								
тяжелый	тяжелых	A		пр	мн						полн		
воспоминание	воспоминаний	S	сред	род	мн								
однажды	однажды	ADV											
вечер	вечером	S	муж	твор	ед								
ездить	ездили	V			мн	несов	нп	прош	изъяв				
мы	мы	SPRO		им	мн					1-л			
вместе	вместе	ADV											
верхом	верхом	ADV											
лошадь	лошадь	S	жен	вин	ед								
у	у	PR											
жена	жены	S	жен	род	ед								
что-то	что-то	SPRO	сред	вин	ед								
заупрямиться	заупрямилась	V	жен		ед	сов	нп	прош	изъяв				
она	она	SPRO	жен	им	ед					3-л			
испугаться	испугалась	V	жен		ед	сов	нп	прош	изъяв				
отдавать	отдала	V	жен		ед	сов	пе	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
повод	поводья	S	муж	вин	мн								
и	и	CONJ											
пойти	пошла	V	жен		ед	сов	нп	прош	изъяв				
пешком	пешком	ADV											
домой	домой	ADV											
я	я	SPRO		им	ед					1-л			
поехать	поехал	V	муж		ед	сов	нп	прош	изъяв				
вперед	вперед	ADV											
на	на	PR											
двор	дворе	S	муж	пр	ед								
увидеть	увидел	V	муж		ед	сов	пе	прош	изъяв				
я	я	SPRO		им	ед					1-л			
дорожный	дорожную	A	жен	вин	ед						полн		
телега	телегу	S	жен	вин	ед								
я	мне	SPRO		пр	ед					1-л			
сказать	сказали	V			мн	сов	пе	прош	изъяв				
что	что	CONJ											
у	у	PR											
я	меня	SPRO		вин	ед					1-л			
в	в	PR											
кабинет	кабинете	S	муж	пр	ед								
сидеть	сидит	V			ед	несов	нп	непрош	изъяв	3-л			
человек	человек	S	муж	вин	мн								
не	не	PART											
хотеть	хотевший	V	муж	вин	ед	несов	пе	прош	прич		полн	действ	
объявлять	объявить	V				сов	пе		инф				
свой	своего	APRO	муж	вин	ед								
имя	имени	S	сред	пр	ед								
но	но	CONJ											
сказать	сказавший	V	муж	вин	ед	сов	пе	прош	прич		полн	действ	
просто	просто	PART											
что	что	CONJ											
он	ему	SPRO	муж	дат	ед					3-л			
до	до	PR											
я	меня	SPRO		вин	ед					1-л			
быть	есть	V			ед	несов	нп	непрош	изъяв	3-л			
дело	дело	S	сред	вин	ед								
я	я	SPRO		им	ед					1-л			
входить	вошел	V	муж		ед	сов	нп	прош	изъяв				
в	в	PR											
этот	эту	APRO	жен	вин	ед								
комната	комнату	S	жен	вин	ед								
и	и	CONJ											
увидеть	увидел	V	муж		ед	сов	пе	прош	изъяв				
в	в	PR											
темнота	темноте	S	жен	пр	ед								
человек	человека	S	муж	вин	ед								
запылить	запыленного	V	муж	вин	ед	сов	пе	прош	прич		полн	страд	
и	и	CONJ											
обрастать	обросшего	V	муж	вин	ед	сов	нп	прош	прич		полн	действ	
борода	бородой	S	жен	твор	ед								
он	он	SPRO	муж	им	ед					3-л			
стоять	стоял	V	муж		ед	несов	нп	прош	изъяв				
здесь	здесь	ADVPRO											
у	у	PR											
камин	камина	S	муж	род	ед								
я	я	SPRO		им	ед					1-л			
подходить	подошел	V	муж		ед	сов	нп	прош	изъяв				
к	к	PR											
он	нему	SPRO	муж	дат	ед					3-л			
стараться	стараясь	V				несов	нп	непрош	деепр				
припоминать	припомнить	V				сов	пе		инф				
его	его	APRO	жен	пр	мн								
черта	черты	S	жен	вин	мн								
ты	ты	SPRO		им	ед					2-л			
не	не	PART											
узнавать	узнал	V	муж		ед	сов	пе	прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
граф	граф	S	муж	им	ед								
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
дрожать	дрожащим	V	муж	дат	мн	несов	нп	непрош	прич		полн	действ	
голос	голосом	S	муж	твор	ед								
сильвио	сильвио	S	муж	пр	мн								
закричать	закричал	V	муж		ед	сов	нп	прош	изъяв				
я	я	SPRO		им	ед					1-л			
и	и	CONJ											
признаваться	признаюсь	V			ед	несов	нп	непрош	изъяв	1-л			
я	я	SPRO		им	ед					1-л			
почувствовать	почувствовал	V	муж		ед	сов	пе	прош	изъяв				
как	как	CONJ											
волос	волоса	S	муж	род	ед								
становиться	стали	V			мн	сов	нп	прош	изъяв				
вдруг	вдруг	ADV											
на	на	PR											
я	мне	SPRO		пр	ед					1-л			
дыбом	дыбом	ADV											
так	так	ADVPRO											
точно	точно	ADV											
продолжать	продолжал	V	муж		ед	несов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
выстрел	выстрел	S	муж	вин	ед								
за	за	PR											
я	мною	SPRO		твор	ед					1-л			
я	я	SPRO		им	ед					1-л			
приезжать	приехал	V	муж		ед	сов	нп	прош	изъяв				
разряжать	разрядить	V				сов			инф				
мой	мой	APRO	муж	вин	ед								
пистолет	пистолет	S	муж	вин	ед								
готовый	готов	A	муж		ед						кр		
ли	ли	PART											
ты	ты	SPRO		им	ед					2-л			
пистолет	пистолет	S	муж	вин	ед								
у	у	PR											
он	него	SPRO	муж	вин	ед					3-л			
торчать	торчал	V	муж		ед	несов	нп	прош	изъяв				
из	из	PR											
боковой	бокового	A	муж	вин	ед						полн		
карман	кармана	S	муж	род	ед								
я	я	SPRO		им	ед					1-л			
отмеривать	отмерил	V	муж		ед	сов	пе	прош	изъяв				
двенадцать	двенадцать	NUM		вин									
шаг	шагов	S	муж	род	мн								
и	и	CONJ											
становиться	стал	V	муж		ед	сов	нп	прош	изъяв				
там	там	ADVPRO											
в	в	PR											
угол	углу	S	муж	дат	ед								
просить	прося	V				несов	пе	непрош	деепр				
он	его	SPRO	муж	вин	ед					3-л			
выстреливать	выстрелить	V				сов	пе		инф				
скоро	скорее	ADV											срав
пока	пока	CONJ											
жена	жена	S	жен	им	ед								
не	не	PART											
воротиться	воротилась	V	жен		ед	сов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
медлить	медлил	V	муж		ед	несов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
спрашивать	спросил	V	муж		ед	сов		прош	изъяв				
огонь	огня	S	муж	род	ед								
подавать	подали	V			мн	сов	пе	прош	изъяв				
свеча	свечи	S	жен	вин	мн								
я	я	SPRO		им	ед					1-л			
запирать	запер	V	муж		ед	сов		прош	изъяв				
дверь	двери	S	жен	пр	ед								
не	не	PART											
велеть	велел	V	муж		ед	несов	нп	прош	изъяв				
никто	никому	SPRO	муж	дат	ед								
входить	входить	V				несов	нп		инф				
и	и	CONJ											
снова	снова	ADV											
просить	просил	V	муж		ед	несов	пе	прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
выстреливать	выстрелить	V				сов	пе		инф				
он	он	SPRO	муж	им	ед					3-л			
вынимать	вынул	V	муж		ед	сов	пе	прош	изъяв				
пистолет	пистолет	S	муж	вин	ед								
и	и	CONJ											
прицеливаться	прицелился	V	муж		ед	сов	нп	прош	изъяв				
я	я	SPRO		им	ед					1-л			
считать	считал	V	муж		ед	несов	пе	прош	изъяв				
секунда	секунды	S	жен	вин	мн								
я	я	SPRO		им	ед					1-л			
думать	думал	V	муж		ед	несов	нп	прош	изъяв				
о	о	PR											
она	ней	SPRO	жен	пр	ед					3-л			
ужасный	ужасная	A	жен	им	ед						полн		
проходить	прошла	V	жен		ед	сов	нп	прош	изъяв				
минута	минута	S	жен	им	ед								
сильвио	сильвио	S	муж	пр	мн								
опускать	опустил	V	муж		ед	сов		прош	изъяв				
рука	руку	S	жен	вин	ед								
жалеть	жалею	V			ед	несов	пе	непрош	изъяв	1-л			
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
что	что	CONJ											
пистолет	пистолет	S	муж	вин	ед								
заряжать	заряжен	V	муж		ед	сов	пе	прош	прич		кр	страд	
не	не	PART											
черешневый	черешневыми	A		твор	мн						полн		
косточка	косточками	S	жен	твор	мн								
пуля	пуля	S	жен	им	ед								
тяжелый	тяжела	A	жен		ед						кр		
я	мне	SPRO		пр	ед					1-л			
все	все	SPRO		вин	мн								
казаться	кажется	V			ед	несов	нп	непрош	изъяв	3-л			
что	что	CONJ											
у	у	PR											
мы	нас	SPRO		пр	мн					1-л			
не	не	PART											
дуэль	дуэль	S	жен	вин	ед								
а	а	CONJ											
убийство	убийство	S	сред	вин	ед								
я	я	SPRO		им	ед					1-л			
не	не	PART											
привыкать	привык	V	муж		ед	сов	нп	прош	изъяв				
целить	целить	V				несов	пе		инф				
в	в	PR											
безоружный	безоружного	A	муж	вин	ед						полн		
начинать	начнем	V			мн	сов	пе	непрош	пов	1-л			
сызнова	сызнова	ADV											
кинуть	кинем	V			мн	сов	пе	непрош	изъяв	1-л			
жребий	жребий	S	муж	вин	ед								
кто	кому	SPRO	муж	дат	ед								
стрелять	стрелять	V				несов	пе		инф				
первый	первому	ANUM	муж	дат	ед								
голова	голова	S	жен	им	ед								
мой	моя	APRO	жен	им	ед								
идти	шла	V	жен		ед	несов	нп	прош	изъяв				
кругом	кругом	ADV											
кажется	кажется	ADV											
я	я	SPRO		им	ед					1-л			
не	не	PART											
соглашаться	соглашался	V	муж		ед	несов	нп	прош	изъяв				
наконец	наконец	ADV											
мы	мы	SPRO		им	мн					1-л			
заряжать	зарядили	V			мн	сов		прош	изъяв				
еще	еще	ADV											
пистолет	пистолет	S	муж	вин	ед								
свертывать	свернули	V			мн	сов	пе	прош	изъяв				
два	два	NUM	муж	вин									
билет	билета	S	муж	род	ед								
он	он	SPRO	муж	им	ед					3-л			
полагать	положил	V	муж		ед	сов	пе	прош	изъяв				
они	их	SPRO		вин	мн								
в	в	PR											
фуражка	фуражку	S	жен	вин	ед								
некогда	некогда	ADVPRO											
я	мною	SPRO		твор	ед					1-л			
прострелить	простреленную	V	жен	вин	ед	сов	пе	прош	прич		полн	страд	
я	я	SPRO		им	ед					1-л			
вынимать	вынул	V	муж		ед	сов	пе	прош	изъяв				
опять	опять	ADV											
первый	первый	ANUM	муж	вин	ед								
нумер	нумер	S	муж	вин	ед								
ты	ты	SPRO		им	ед					2-л			
граф	граф	S	муж	им	ед								
дьявольски	дьявольски	ADV											
счастливый	счастлив	A	муж		ед						кр		
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
с	с	PR											
усмешка	усмешкою	S	жен	твор	ед								
который	которой	APRO	жен	пр	ед								
никогда	никогда	ADVPRO											
не	не	PART											
забывать	забуду	V			ед	сов		непрош	изъяв	1-л			
не	не	PART											
понимать	понимаю	V			ед	несов	пе	непрош	изъяв	1-л			
что	что	CONJ											
со	со	PR											
я	мною	SPRO		твор	ед					1-л			
быть	было	V	сред		ед	несов	нп	прош	изъяв				
и	и	CONJ											
какой	каким	APRO	муж	дат	мн								
образ	образом	S	муж	твор	ед								
мочь	мог	V	муж		ед	несов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
я	меня	SPRO		вин	ед					1-л			
к	к	PR											
то	тому	SPRO	сред	дат	ед								
принуждать	принудить	V				сов			инф				
но	но	CONJ											
я	я	SPRO		им	ед					1-л			
выстреливать	выстрелил	V	муж		ед	сов	пе	прош	изъяв				
и	и	CONJ											
попадать	попал	V	муж		ед	сов	нп	прош	изъяв				
вот	вот	PART											
в	в	PR											
этот	эту	APRO	жен	вин	ед								
картина	картину	S	жен	вин	ед								
граф	граф	S	муж	им	ед								
указывать	указывал	V	муж		ед	несов	пе	прош	изъяв				
палец	пальцем	S	муж	твор	ед								
на	на	PR											
прострелить	простреленную	V	жен	вин	ед	сов	пе	прош	прич		полн	страд	
картина	картину	S	жен	вин	ед								
лицо	лицо	S	сред	вин	ед								
его	его	APRO	жен	пр	мн								
гореть	горело	V	сред		ед	несов	нп	прош	изъяв				
как	как	CONJ											
огонь	огонь	S	муж	вин	ед								
графиня	графиня	S	жен	им	ед								
быть	была	V	жен		ед	несов	нп	прош	изъяв				
бледный	бледнее	A											срав
свой	своего	APRO	муж	вин	ед								
платок	платка	S	муж	род	ед								
я	я	SPRO		им	ед					1-л			
не	не	PART											
мочь	мог	V	муж		ед	несов	нп	прош	изъяв				
воздерживаться	воздержаться	V				сов	нп		инф				
от	от	PR											
восклицание	восклицания	S	сред	вин	мн								
я	я	SPRO		им	ед					1-л			
выстреливать	выстрелил	V	муж		ед	сов	пе	прош	изъяв				
продолжать	продолжал	V	муж		ед	несов	пе	прош	изъяв				
граф	граф	S	муж	им	ед								
и	и	CONJ											
слава	слава	S	жен	им	ед								
бог	богу	S	муж	дат	ед								
давать	дал	V	муж		ед	сов	пе	прош	изъяв				
промах	промах	S	муж	вин	ед								
тогда	тогда	ADVPRO											
сильвио	сильвио	S	муж	пр	мн								
в	в	PR											
этот	эту	APRO	жен	вин	ед								
минута	минуту	S	жен	вин	ед								
он	он	SPRO	муж	им	ед					3-л			
быть	был	V	муж		ед	несов	нп	прош	изъяв				
право	право	ADV											
ужасный	ужасен	A	муж		ед						кр		
сильвио	сильвио	S	муж	пр	мн								
становиться	стал	V	муж		ед	сов	нп	прош	изъяв				
в	в	PR											
я	меня	SPRO		вин	ед					1-л			
прицеливаться	прицеливаться	V				несов	нп		инф				
вдруг	вдруг	ADV											
дверь	двери	S	жен	пр	ед								
отворяться	отворились	V			мн	сов	нп	прош	изъяв				
маша	маша	S	жен	им	ед								
вбегать	вбегает	V			ед	несов	нп	непрош	изъяв	3-л			
и	и	CONJ											
с	с	PR											
визг	визгом	S	муж	твор	ед								
кидаться	кидается	V			ед	несов	нп	непрош	изъяв	3-л			
я	мне	SPRO		пр	ед					1-л			
на	на	PR											
шея	шею	S	жен	вин	ед								
ее	ее	APRO	жен	пр	мн								
присутствие	присутствие	S	сред	вин	ед								
возвращать	возвратило	V	сред		ед	сов	пе	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
весь	всю	APRO	жен	вин	ед								
бодрость	бодрость	S	жен	вин	ед								
милый	милая	A	жен	им	ед						полн		
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
я	я	SPRO		им	ед					1-л			
она	ей	SPRO	жен	дат	ед					3-л			
разве	разве	PART											
ты	ты	SPRO		им	ед					2-л			
не	не	PART											
видеть	видишь	V			ед	несов	пе	непрош	изъяв	2-л			
что	что	CONJ											
мы	мы	SPRO		им	мн					1-л			
шутить	шутим	V			мн	несов	нп	непрош	изъяв	1-л			
как	как	ADVPRO											
же	же	PART											
ты	ты	SPRO		им	ед					2-л			
перепугаться	перепугалась	V	жен		ед	сов	нп	прош	изъяв				
поди	поди	INTJ											
выпивать	выпей	V			ед	сов	пе		пов	2-л			
стакан	стакан	S	муж	вин	ед								
вода	воды	S	жен	вин	мн								
и	и	CONJ											
прийти	приди	V			ед	сов	нп		пов	2-л			
к	к	PR											
мы	нам	SPRO		дат	мн					1-л			
я	я	SPRO		им	ед					1-л			
представлять	представлю	V			ед	сов	пе	непрош	изъяв	1-л			
ты	тебе	SPRO		пр	ед					2-л			
старинный	старинного	A	муж	вин	ед						полн		
друг	друга	S	муж	вин	ед								
и	и	CONJ											
товарищ	товарища	S	муж	вин	ед								
маша	маше	S	жен	пр	ед								
все	все	SPRO		вин	мн								
еще	еще	ADV											
не	не	PART											
вериться	верилось	V	сред		ед	несов	нп	прош	изъяв				
сказать	скажите	V			мн	сов	пе		пов	2-л			
правда	правду	S	жен	вин	ед								
ли	ли	PART											
муж	муж	S	муж	им	ед								
говорить	говорит	V			ед	несов	пе	непрош	изъяв	3-л			
сказать	сказала	V	жен		ед	сов	пе	прош	изъяв				
она	она	SPRO	жен	им	ед					3-л			
обращаться	обращаясь	V				несов	нп	непрош	деепр				
к	к	PR											
грозный	грозному	A	муж	дат	ед						полн		
сильвио	сильвио	S	муж	пр	мн								
правда	правда	ADV											
ли	ли	PART											
что	что	CONJ											
вы	вы	SPRO		им	мн					2-л			
оба	оба	NUM	муж	вин									
шутить	шутите	V			мн	несов	нп	непрош	изъяв	2-л			
он	он	SPRO	муж	им	ед					3-л			
всегда	всегда	ADVPRO											
шутить	шутит	V			ед	несов	нп	непрош	изъяв	3-л			
графиня	графиня	S	жен	им	ед								
отвечать	отвечал	V	муж		ед	несов	нп	прош	изъяв				
она	ей	SPRO	жен	дат	ед					3-л			
сильвио	сильвио	S	муж	пр	мн								
